timestamp,open,high,low,close,volume
2022-09-06,19790.3,20171.2,18670.0,18792.9,7780.18781792
2022-09-07,18791.0,19457.0,18550.0,19283.1,3929.64205899
2022-09-08,19292.8,19441.8,19015.0,19322.1,2781.27591459
2022-09-09,19322.5,21585.1,19309.4,21375.4,6607.96000464
2022-09-10,21373.3,21800.0,21121.6,21650.4,2229.18631665
2022-09-11,21656.6,21850.2,21363.2,21844.6,1949.29969214
2022-09-12,21835.6,22475.0,21564.6,22401.3,4241.18154876
2022-09-13,22397.8,22790.0,19863.2,20173.6,9152.50302423
2022-09-14,20172.8,20525.0,19619.5,20233.0,4155.45394503
2022-09-15,20230.6,20335.7,19509.3,19700.6,3130.97098746
2022-09-16,19700.0,19888.3,19326.9,19795.3,3660.73697088
2022-09-17,19795.4,20197.8,19757.0,20118.0,1889.86114721
2022-09-18,20117.1,20119.5,19355.0,19427.0,2462.50496609
2022-09-19,19426.9,19678.6,18223.9,19539.8,5171.34350562
2022-09-20,19535.0,19629.1,18731.1,18870.0,3495.73165845
2022-09-21,18869.9,19888.0,18138.4,18469.2,8199.87173157
2022-09-22,18468.0,19500.0,18372.6,19409.1,3386.5459023
2022-09-23,19409.0,19479.8,18543.0,19289.0,4124.02041642
2022-09-24,19287.7,19299.0,18805.1,18928.3,1584.79514179
2022-09-25,18928.2,19175.0,18645.9,18801.5,1829.44552012
2022-09-26,18805.6,19307.7,18695.9,19228.1,4007.13852756
2022-09-27,19226.8,20383.0,18833.7,19090.1,9140.83230363
2022-09-28,19090.0,19773.3,18487.5,19400.0,10143.14408014
2022-09-29,19400.0,19647.8,18849.1,19600.1,5281.66287706
2022-09-30,19600.0,20177.1,19150.0,19425.2,8327.92704339
2022-10-01,19425.1,19478.6,19172.0,19316.1,1680.93419445
2022-10-02,19316.1,19393.7,18937.0,19057.8,1799.11964791
2022-10-03,19060.4,19700.0,18985.7,19639.6,3507.0515593
2022-10-04,19631.4,20475.0,19508.2,20347.9,5668.96124874
2022-10-05,20340.9,20360.9,19754.3,20162.7,3851.61226863
2022-10-06,20163.1,20449.8,19872.7,19955.8,3542.0619383
2022-10-07,19955.8,20054.7,19338.4,19532.8,3678.17182192
2022-10-08,19532.8,19615.0,19249.7,19417.5,1337.85077668
2022-10-09,19420.0,19559.5,19335.0,19443.5,903.92350217
2022-10-10,19443.5,19520.0,19040.0,19132.1,2623.75289814
2022-10-11,19132.1,19259.4,18860.0,19050.0,3503.57513226
2022-10-12,19050.0,19240.3,18937.3,19155.9,2166.65828691
2022-10-13,19155.8,19498.0,18163.1,19385.5,8222.73523411
2022-10-14,19385.4,19939.4,19083.2,19182.9,5003.54669681
2022-10-15,19182.4,19220.0,19000.0,19068.0,1512.09133655
2022-10-16,19070.6,19420.7,19066.8,19261.7,1539.0807742
2022-10-17,19261.8,19667.6,19160.0,19550.9,3302.59357459
2022-10-18,19549.8,19696.9,19110.0,19330.6,3216.43210996
2022-10-19,19329.1,19355.7,19071.2,19124.1,2169.67020379
2022-10-20,19124.1,19344.3,18900.3,19045.2,2863.4811914
2022-10-21,19045.2,19243.9,18657.1,19171.4,3354.09133836
2022-10-22,19175.7,19250.0,19123.1,19206.0,591.65753127
2022-10-23,19206.0,19679.7,19080.2,19569.9,2135.1376603
2022-10-24,19570.0,19591.3,19158.2,19332.2,2866.23035029
2022-10-25,19330.6,20400.0,19230.4,20085.2,6743.9306896
2022-10-26,20085.3,21021.2,20071.1,20775.9,4891.69997701
2022-10-27,20775.9,20871.3,20150.1,20286.4,4075.22427609
2022-10-28,20286.4,20743.0,20016.3,20603.8,3853.30318377
2022-10-29,20600.7,21074.4,20565.4,20813.6,2053.92606404
2022-10-30,20813.8,20925.0,20525.0,20625.0,1600.23172923
2022-10-31,20625.0,20823.0,20250.1,20499.7,3143.69783041
2022-11-01,20498.0,20677.0,20339.4,20486.5,1738.25303671
2022-11-02,20486.4,20864.3,20059.8,20153.5,3924.50382374
2022-11-03,20153.5,20383.0,20050.0,20209.1,2864.18956176
2022-11-04,20209.3,21333.3,20185.4,21148.7,4476.41108197
2022-11-05,21149.4,21469.3,21088.3,21299.5,1536.47259662
2022-11-06,21300.1,21360.0,20900.0,20910.8,1320.06805441
2022-11-07,20910.0,21074.8,20400.0,20597.4,3018.76169663
2022-11-08,20592.0,20670.4,17276.2,18544.8,16695.47946846
2022-11-09,18544.8,18577.0,15555.0,15863.7,16008.05249838
2022-11-10,15878.7,18155.5,15732.8,17557.2,13578.74316571
2022-11-11,17555.0,17638.0,16350.0,17009.4,7372.51179598
